ticker,outer_fold,window,model,accuracy,precision,recall,specificity,f1,auc,n_test,scope,n_test_total
AAPL,0,15,XGBoost,0.6049382716049383,0.8129496402877698,0.6174863387978142,0.5666666666666667,0.7018633540372671,0.5802367941712204,243.0,per_fold,
AAPL,0,15,Random Forest,0.5843621399176955,0.7887323943661971,0.6120218579234973,0.5,0.6892307692307692,0.5620218579234972,243.0,per_fold,
AAPL,0,15,LightGBM,0.6172839506172839,0.78125,0.6830601092896175,0.4166666666666667,0.7288629737609329,0.5663934426229508,243.0,per_fold,
AAPL,1,15,XGBoost,0.5802469135802469,0.6231155778894473,0.8211920529801324,0.18478260869565216,0.7085714285714285,0.5316009213936078,243.0,per_fold,
AAPL,1,15,Random Forest,0.6049382716049383,0.6328502415458938,0.8675496688741722,0.17391304347826086,0.7318435754189944,0.4583933198963433,243.0,per_fold,
AAPL,1,15,LightGBM,0.5802469135802469,0.6296296296296297,0.7880794701986755,0.2391304347826087,0.7,0.5434062769939534,243.0,per_fold,
AAPL,2,15,XGBoost,0.411522633744856,0.3983050847457627,0.9894736842105263,0.04054054054054054,0.56797583081571,0.5786628733997154,243.0,per_fold,
AAPL,2,15,Random Forest,0.411522633744856,0.39915966386554624,1.0,0.033783783783783786,0.5705705705705706,0.4839971550497866,243.0,per_fold,
AAPL,2,15,LightGBM,0.40329218106995884,0.3958333333333333,1.0,0.02027027027027027,0.5671641791044776,0.5034850640113797,243.0,per_fold,
AAPL,3,15,XGBoost,0.654320987654321,0.7336683417085427,0.8248587570621468,0.19696969696969696,0.776595744680851,0.4618216058894026,243.0,per_fold,
AAPL,3,15,Random Forest,0.5390946502057613,0.7272727272727273,0.5875706214689266,0.4090909090909091,0.65,0.4886149631912344,243.0,per_fold,
AAPL,3,15,LightGBM,0.551440329218107,0.7151898734177216,0.6384180790960452,0.3181818181818182,0.6746268656716418,0.4921246361924328,243.0,per_fold,
AAPL,4,15,XGBoost,0.551440329218107,0.5977011494252874,0.7272727272727273,0.3,0.6561514195583596,0.4577622377622378,243.0,per_fold,
AAPL,4,15,Random Forest,0.4732510288065844,0.5414364640883977,0.6853146853146853,0.17,0.6049382716049383,0.3916783216783217,243.0,per_fold,
AAPL,4,15,LightGBM,0.49794238683127573,0.5532994923857868,0.7622377622377622,0.12,0.6411764705882353,0.400979020979021,243.0,per_fold,
AAPL,ALL,15,XGBoost,0.5604938271604938,0.6135163674762407,0.7757009345794392,0.2145922746781116,0.6851415094339622,0.5246709489619922,,pooled,1215.0
AAPL,ALL,15,Random Forest,0.522633744855967,0.5927552140504939,0.7209612817089452,0.20386266094420602,0.6506024096385542,0.47241242973463904,,pooled,1215.0
AAPL,ALL,15,LightGBM,0.5300411522633744,0.5942796610169492,0.7489986648865153,0.1781115879828326,0.6627288836385116,0.5148638814556747,,pooled,1215.0
