ticker,model,horizon,cost_bps,strategy,n_trades,n_long,n_short,hit_rate,gross_total_return,net_total_return,gross_ann_return,net_ann_return,ann_volatility,gross_sharpe,net_sharpe,max_drawdown,avg_win,avg_loss,win_loss_ratio,avg_trade_return,turnover_per_year,buy_and_hold_total_return,buy_and_hold_ann_return,buy_and_hold_sharpe
AAPL,LightGBM,1,0.0,sign,1229,678,551,0.4816924328722539,-0.16751406277065728,-0.16751406277065728,-0.03689485605298304,-0.03689485605298304,0.3184814352044168,0.040061320085726305,0.040061320085726305,-0.6427398982301618,0.014686148811212017,-0.013550982254220897,1.0837700570847943,5.063010602018113e-05,252.0,2.156346904128529,0.26532287015579326,0.9002255016894991
AAPL,LightGBM,1,5.0,sign,1229,678,551,0.46867371847030104,-0.16751406277065728,-0.5498645097667426,-0.03689485605298304,-0.15097622106571484,0.3184814352044168,0.040061320085726305,-0.35556613593577524,-0.7528600770783873,0.014586057933349408,-0.01371186059618753,1.0637548296986727,-0.0004493698939798193,252.0,2.156346904128529,0.26532287015579326,0.9002255016894991
AAPL,LightGBM,1,10.0,sign,1229,678,551,0.4524003254678601,-0.16751406277065728,-0.7566810752511264,-0.03689485605298304,-0.251591713540936,0.3184814352044168,0.040061320085726305,-0.7511935919572768,-0.8640432206399102,0.014603020207029393,-0.013798001240430223,1.0583431580104763,-0.0009493698939798197,252.0,2.156346904128529,0.26532287015579326,0.9002255016894991
AAPL,LightGBM,1,25.0,sign,1229,678,551,0.4149715215622457,-0.16751406277065728,-0.9616407465118386,-0.03689485605298304,-0.48757535881632774,0.3184814352044168,0.040061320085726305,-1.9380759600217805,-0.9777650352957905,0.014348954601533655,-0.01436473219260551,0.9989016439109129,-0.0024493698939798197,252.0,2.156346904128529,0.26532287015579326,0.9002255016894991
AAPL,Random Forest,1,0.0,sign,1229,670,559,0.5117982099267697,1.265147052385339,1.265147052385339,0.1825258781312984,0.1825258781312984,0.31818593575651644,0.6852074714495398,0.6852074714495398,-0.40965366878766585,0.014618022542241618,-0.013552399355177082,1.0786298543259398,0.0008651721448036839,252.0,2.156346904128529,0.26532287015579326,0.9002255016894991
AAPL,Random Forest,1,5.0,sign,1229,670,559,0.4971521562245728,1.265147052385339,0.2254064971091474,0.1825258781312984,0.04256078985680012,0.31818593575651644,0.6852074714495398,0.2892125959990473,-0.48865630481428557,0.014539844703768033,-0.013648945870612526,1.0652723544807732,0.0003651721448036834,252.0,2.156346904128529,0.26532287015579326,0.9002255016894991
AAPL,Random Forest,1,10.0,sign,1229,670,559,0.4816924328722539,1.265147052385339,-0.33727942080743345,0.1825258781312984,-0.08089580601161361,0.31818593575651644,0.6852074714495398,-0.1067822794514451,-0.662777009650939,0.014499303853791579,-0.013735151201696843,1.0556348190764973,-0.00013482785519631704,252.0,2.156346904128529,0.26532287015579326,0.9002255016894991
AAPL,Random Forest,1,25.0,sign,1229,670,559,0.44263628966639545,1.265147052385339,-0.8953645228768395,0.1825258781312984,-0.37050785469158176,0.31818593575651644,0.6852074714495398,-1.2947669058029212,-0.9369036232940262,0.014210752519713364,-0.014218763218628238,0.9994366107099683,-0.001634827855196317,252.0,2.156346904128529,0.26532287015579326,0.9002255016894991
AAPL,XGBoost,1,0.0,sign,1229,603,626,0.48657445077298617,-0.02579464545712662,-0.02579464545712662,-0.005344136589863879,-0.005344136589863879,0.3184698259051257,0.14129016853201629,0.14129016853201629,-0.5970120476554444,0.014670253985121257,-0.013555251836883856,1.0822560998242376,0.00017855815624800436,252.0,2.156346904128529,0.26532287015579326,0.9002255016894991
AAPL,XGBoost,1,5.0,sign,1229,603,626,0.4735557363710334,-0.02579464545712662,-0.47319364093763283,-0.005344136589863879,-0.12314859912719878,0.3184698259051257,0.14129016853201629,-0.2543517094446318,-0.7276091849430741,0.014565283827879486,-0.013712592293349403,1.0621831026758985,-0.00032144184375199606,252.0,2.156346904128529,0.26532287015579326,0.9002255016894991
