Ticker,Window,Model,Samples,Accuracy,Accuracy_Std,Precision,Recall,Specificity,F-Score,AUC
AAPL,1,Random Forest,1230,0.7276422764227641,0.018179414451217797,0.7940279606949254,0.7155710227256784,0.714549185347148,0.7521916595848405,0.7579469795961531
AAPL,1,XGBoost,1230,0.7284552845528455,0.030679613437582444,0.7940883837052459,0.7194056546166528,0.7177947662243078,0.7542231681445541,0.7555043520691438
AAPL,1,Gradient Boosting,1230,0.6902439024390243,0.04880758055220692,0.7576281310750466,0.7029821026576051,0.6531187785432268,0.7254898783965356,0.7170108932219039
AAPL,1,LightGBM,1230,0.7195121951219512,0.03698963631244658,0.7543173272585036,0.7716057429642573,0.6107862017454547,0.7623810309210622,0.7471385192722353
AAPL,1,CatBoost,1230,0.7333333333333334,0.022501386183899245,0.8065069572783459,0.7110838093194065,0.73991540396464,0.7553187938929186,0.7749302674430338
AAPL,2,Random Forest,1230,0.6959349593495935,0.02761835406741956,0.7664582672842183,0.6809242380339148,0.678249604284087,0.71875662981112,0.7255205919352642
AAPL,2,XGBoost,1230,0.673170731707317,0.07109057638601356,0.7380117789734536,0.6572190691221348,0.6572714093403748,0.6930512256792877,0.7115834697051252
AAPL,2,Gradient Boosting,1230,0.6365853658536585,0.06920604860172493,0.7009595330361156,0.6501330550488494,0.5857455731593663,0.6659565896042166,0.6566409925625389
AAPL,2,LightGBM,1230,0.6747967479674797,0.06864985961816115,0.7072732810448983,0.7489651908704735,0.5392266897439312,0.7256018924780598,0.6949410644211464
AAPL,2,CatBoost,1230,0.7089430894308941,0.016582177279976528,0.7792819539680762,0.689881380545579,0.7046599431944259,0.7310117188505297,0.7408933160655627
AAPL,5,Random Forest,1230,0.6398373983739838,0.05843487097907775,0.7095299970228538,0.6469383502811303,0.5782763634634499,0.6714320776994762,0.667277505667464
AAPL,5,XGBoost,1230,0.6203252032520326,0.0964914273134139,0.6765975168593954,0.6264302620130059,0.5508593731061066,0.6447148256500588,0.6472428891953512
AAPL,5,Gradient Boosting,1230,0.5910569105691057,0.07528999611570877,0.6461225649698038,0.6419073386732844,0.4642845674603692,0.6357682848142143,0.5992330892732781
AAPL,5,LightGBM,1230,0.6154471544715447,0.09855858511019014,0.6556143490492393,0.682515927296909,0.46550865433565247,0.6654970247044448,0.6185973062541985
AAPL,5,CatBoost,1230,0.6414634146341462,0.046802725088208944,0.7206269926983356,0.623408765559495,0.6189058633543615,0.6653156256975162,0.688723028959986
AAPL,10,Random Forest,1230,0.5430894308943089,0.08785003355603316,0.6097638774200607,0.5965005484394406,0.40991138950423955,0.5976590595534417,0.5417871836693852
AAPL,10,XGBoost,1230,0.5284552845528456,0.10177225250917785,0.590585783890243,0.5950299602041464,0.3789412342043921,0.5864907665778363,0.5101474335432872
AAPL,10,Gradient Boosting,1230,0.5260162601626017,0.09975844975725506,0.5885018914417233,0.6537410368678216,0.29340768466885647,0.6108319658488298,0.4818779265386367
AAPL,10,LightGBM,1230,0.516260162601626,0.10144699679553866,0.5886087874437416,0.6549850425607137,0.27449427434531704,0.6126586431859055,0.47416717358714183
AAPL,10,CatBoost,1230,0.5455284552845528,0.07241707623298652,0.6194612028680815,0.5532954411538078,0.4771042099244681,0.576256540697271,0.5303970473494244
