ticker,horizon,model,n,accuracy,ci_lower,ci_upper,alpha,block_size,autocorr_lag1,n_boot
AAPL,1,LightGBM,1229,0.48413344182262,0.45890968266883647,0.5101708706265257,0.05,11,-0.04997397741877234,4000
AAPL,1,Random Forest,1229,0.5134255492270138,0.48576078112286414,0.5410903173311635,0.05,11,-0.02023676806285513,4000
AAPL,1,XGBoost,1229,0.4882017900732303,0.46053702196908053,0.51586655817738,0.05,11,-0.04129670598131286,4000
AAPL,5,LightGBM,1225,0.4791836734693877,0.43755102040816324,0.5232653061224489,0.05,13,0.386190186071215,4000
AAPL,5,Random Forest,1225,0.5159183673469387,0.46528571428571425,0.5681632653061225,0.05,14,0.4749581406025494,4000
AAPL,5,XGBoost,1225,0.4775510204081633,0.4293877551020408,0.5289795918367347,0.05,14,0.4727525684931507,4000
AAPL,15,LightGBM,1215,0.5300411522633744,0.4575925925925926,0.6082304526748972,0.05,18,0.6246736421094053,4000
AAPL,15,Random Forest,1215,0.522633744855967,0.4469135802469136,0.6016460905349794,0.05,21,0.6912950378669926,4000
AAPL,15,XGBoost,1215,0.5604938271604938,0.48148148148148145,0.642798353909465,0.05,21,0.6906883970478537,4000
