entry_date,exit_date,position,gross_return,net_return,gross_equity,net_equity,ticker,model,horizon,cost_bps,strategy
2020-02-11,2020-02-12,1,0.023747777614394394,0.023747777614394394,1.0237477776143944,1.0237477776143944,AAPL,LightGBM,1,0.0,sign
2020-02-12,2020-02-13,-1,0.007121078859769314,0.007121078859769314,1.0310379662713,1.0310379662713,AAPL,LightGBM,1,0.0,sign
2020-02-13,2020-02-14,1,0.0002463049559713326,0.0002463049559713326,1.0312919160321874,1.0312919160321874,AAPL,LightGBM,1,0.0,sign
2020-02-14,2020-02-18,1,-0.018310546187148335,-0.018310546187148335,1.0124083977712472,1.0124083977712472,AAPL,LightGBM,1,0.0,sign
2020-02-18,2020-02-19,1,0.014482743314067292,0.014482743314067292,1.0270708487251743,1.0270708487251743,AAPL,LightGBM,1,0.0,sign
2020-02-19,2020-02-20,1,-0.010258968463974338,-0.010258968463974338,1.0165341612778354,1.0165341612778354,AAPL,LightGBM,1,0.0,sign
2020-02-20,2020-02-21,1,-0.02263503052234317,-0.02263503052234317,0.993524879510307,0.993524879510307,AAPL,LightGBM,1,0.0,sign
2020-02-21,2020-02-24,1,-0.047500385551912494,-0.047500385551912494,0.94633206467815,0.94633206467815,AAPL,LightGBM,1,0.0,sign
2020-02-24,2020-02-25,1,-0.033872179058296537,-0.033872179058296537,0.9142777355347642,0.9142777355347642,AAPL,LightGBM,1,0.0,sign
2020-02-25,2020-02-26,1,0.015863675150069367,0.015863675150069367,0.9287815405282287,0.9287815405282287,AAPL,LightGBM,1,0.0,sign
2020-02-26,2020-02-27,1,-0.06536820530254006,-0.06536820530254006,0.86806875810577,0.86806875810577,AAPL,LightGBM,1,0.0,sign
2020-02-27,2020-02-28,1,-0.0005849797767482068,-0.0005849797767482068,0.8675609554374512,0.8675609554374512,AAPL,LightGBM,1,0.0,sign
2020-02-28,2020-03-02,1,0.09310072274952952,0.09310072274952952,0.9483315074179502,0.9483315074179502,AAPL,LightGBM,1,0.0,sign
2020-03-02,2020-03-03,-1,0.0317592795151177,0.0317592795151177,0.97844983283503,0.97844983283503,AAPL,LightGBM,1,0.0,sign
2020-03-03,2020-03-04,1,0.04638456577639127,0.04638456577639127,1.0238348034650655,1.0238348034650655,AAPL,LightGBM,1,0.0,sign
2020-03-04,2020-03-05,-1,0.03243699915243503,0.03243699915243503,1.0570449321172954,1.0570449321172954,AAPL,LightGBM,1,0.0,sign
2020-03-05,2020-03-06,1,-0.013280125870939186,-0.013280125870939186,1.0430072423675394,1.0430072423675394,AAPL,LightGBM,1,0.0,sign
2020-03-06,2020-03-09,-1,0.07909208541712087,0.07909208541712087,1.1255008602715486,1.1255008602715486,AAPL,LightGBM,1,0.0,sign
2020-03-09,2020-03-10,1,0.07202157246522778,0.07202157246522778,1.2065612020392722,1.2065612020392722,AAPL,LightGBM,1,0.0,sign
2020-03-10,2020-03-11,-1,0.03473051023093954,0.03473051023093954,1.2484656882109517,1.2484656882109517,AAPL,LightGBM,1,0.0,sign
2020-03-11,2020-03-12,-1,0.09875466605505201,0.09875466605505201,1.3717575003314149,1.3717575003314149,AAPL,LightGBM,1,0.0,sign
