ticker,outer_fold,window,model,accuracy,precision,recall,specificity,f1,auc,n_test,scope,n_test_total
AAPL,0,1,XGBoost,0.5428571428571428,0.6020408163265306,0.44696969696969696,0.6548672566371682,0.5130434782608696,0.5727406811477608,245.0,per_fold,
AAPL,0,1,Random Forest,0.5551020408163265,0.5864661654135338,0.5909090909090909,0.5132743362831859,0.5886792452830188,0.5705953338696701,245.0,per_fold,
AAPL,0,1,LightGBM,0.5102040816326531,0.5517241379310345,0.48484848484848486,0.5398230088495575,0.5161290322580645,0.5167605256100831,245.0,per_fold,
AAPL,1,1,XGBoost,0.5,0.5214285714285715,0.5658914728682171,0.42735042735042733,0.5427509293680297,0.4775061286689194,246.0,per_fold,
AAPL,1,1,Random Forest,0.5487804878048781,0.5569620253164557,0.6821705426356589,0.4017094017094017,0.6132404181184669,0.4920824223149805,246.0,per_fold,
AAPL,1,1,LightGBM,0.4796747967479675,0.5031446540880503,0.6201550387596899,0.3247863247863248,0.5555555555555556,0.4982442191744517,246.0,per_fold,
AAPL,2,1,XGBoost,0.44715447154471544,0.4407894736842105,0.5677966101694916,0.3359375,0.4962962962962963,0.44008209745762716,246.0,per_fold,
AAPL,2,1,Random Forest,0.4634146341463415,0.46195652173913043,0.7203389830508474,0.2265625,0.5629139072847682,0.5082759533898306,246.0,per_fold,
AAPL,2,1,LightGBM,0.46747967479674796,0.4591194968553459,0.6186440677966102,0.328125,0.5270758122743683,0.479541843220339,246.0,per_fold,
AAPL,3,1,XGBoost,0.4878048780487805,0.5344827586206896,0.4626865671641791,0.5178571428571429,0.496,0.5011993603411513,246.0,per_fold,
AAPL,3,1,Random Forest,0.540650406504065,0.5826771653543307,0.5522388059701493,0.5267857142857143,0.5670498084291188,0.5081289978678039,246.0,per_fold,
AAPL,3,1,LightGBM,0.524390243902439,0.5578231292517006,0.6119402985074627,0.41964285714285715,0.5836298932384342,0.5124600213219617,246.0,per_fold,
AAPL,4,1,XGBoost,0.4634146341463415,0.5463917525773195,0.375886524822695,0.580952380952381,0.44537815126050423,0.5096926713947991,246.0,per_fold,
AAPL,4,1,Random Forest,0.45934959349593496,0.5588235294117647,0.2695035460992908,0.7142857142857143,0.36363636363636365,0.48125633232016213,246.0,per_fold,
AAPL,4,1,LightGBM,0.43902439024390244,0.5154639175257731,0.3546099290780142,0.5523809523809524,0.42016806722689076,0.48936170212765956,246.0,per_fold,
AAPL,ALL,1,XGBoost,0.4882017900732303,0.5207296849087893,0.4801223241590214,0.4973913043478261,0.4996022275258552,0.4967796835527191,,pooled,1229.0
AAPL,ALL,1,Random Forest,0.5134255492270138,0.5417910447761194,0.555045871559633,0.46608695652173915,0.5483383685800605,0.5022497008376545,,pooled,1229.0
AAPL,ALL,1,LightGBM,0.48413344182262,0.5147492625368731,0.5336391437308868,0.42782608695652175,0.524024024024024,0.4873687009706156,,pooled,1229.0
