model_a,model_b,dm_stat,p_value,rw_p_value,rw_reject_05,bonferroni_p_value,n,lag,ticker,horizon,rw_block_size
CatBoost,LightGBM,0.10421524378748823,0.9170155547695069,0.99975,False,1.0,1229,0,AAPL,1,11
CatBoost,Random Forest,0.0,1.0,1.0,False,1.0,1229,0,AAPL,1,11
CatBoost,XGBoost,0.16192058819472294,0.8713950267219968,0.999,False,1.0,1229,0,AAPL,1,11
LightGBM,Random Forest,-0.11391480577188733,0.9093239494812686,0.9995,False,1.0,1229,0,AAPL,1,11
LightGBM,XGBoost,0.05800235301614655,0.9537561907507144,0.99975,False,1.0,1229,0,AAPL,1,11
Random Forest,XGBoost,0.17701460041465078,0.8595261116608137,0.999,False,1.0,1229,0,AAPL,1,11
