ticker,outer_fold,window,model,accuracy,precision,recall,specificity,f1,auc,n_test,scope,n_test_total
AAPL,0,1,Random Forest,0.5428571428571428,0.5746268656716418,0.5833333333333334,0.49557522123893805,0.5789473684210527,0.5497452400107267,245.0,per_fold,
AAPL,0,1,XGBoost,0.5102040816326531,0.5588235294117647,0.4318181818181818,0.6017699115044248,0.48717948717948717,0.520581925449182,245.0,per_fold,
AAPL,0,1,LightGBM,0.5020408163265306,0.5471698113207547,0.4393939393939394,0.5752212389380531,0.48739495798319327,0.5313086618396353,245.0,per_fold,
AAPL,0,1,CatBoost,0.5142857142857142,0.5467625899280576,0.5757575757575758,0.4424778761061947,0.5608856088560885,0.5213864306784661,245.0,per_fold,
AAPL,1,1,Random Forest,0.5284552845528455,0.5408805031446541,0.6666666666666666,0.37606837606837606,0.5972222222222222,0.5116941628569536,246.0,per_fold,
AAPL,1,1,XGBoost,0.5203252032520326,0.5337423312883436,0.6744186046511628,0.3504273504273504,0.5958904109589042,0.49625654276817066,246.0,per_fold,
AAPL,1,1,LightGBM,0.4715447154471545,0.4968553459119497,0.6124031007751938,0.3162393162393162,0.5486111111111112,0.48552309017425305,246.0,per_fold,
AAPL,1,1,CatBoost,0.532520325203252,0.5454545454545454,0.6511627906976745,0.4017094017094017,0.5936395759717314,0.543430729477241,246.0,per_fold,
AAPL,2,1,Random Forest,0.45934959349593496,0.46153846153846156,0.7627118644067796,0.1796875,0.5750798722044729,0.4960275423728814,246.0,per_fold,
AAPL,2,1,XGBoost,0.5121951219512195,0.49411764705882355,0.711864406779661,0.328125,0.5833333333333334,0.5348252118644068,246.0,per_fold,
AAPL,2,1,LightGBM,0.483739837398374,0.4723926380368098,0.652542372881356,0.328125,0.5480427046263345,0.4875529661016949,246.0,per_fold,
AAPL,2,1,CatBoost,0.5447154471544715,0.51875,0.7033898305084746,0.3984375,0.5971223021582733,0.5299920550847457,246.0,per_fold,
AAPL,3,1,Random Forest,0.5121951219512195,0.5460526315789473,0.6194029850746269,0.38392857142857145,0.5804195804195804,0.5123933901918976,246.0,per_fold,
AAPL,3,1,XGBoost,0.5121951219512195,0.5538461538461539,0.5373134328358209,0.48214285714285715,0.5454545454545454,0.5045975479744137,246.0,per_fold,
AAPL,3,1,LightGBM,0.5813008130081301,0.6013071895424836,0.6865671641791045,0.45535714285714285,0.6411149825783972,0.587819829424307,246.0,per_fold,
AAPL,3,1,CatBoost,0.44715447154471544,0.49166666666666664,0.44029850746268656,0.45535714285714285,0.4645669291338583,0.46455223880597013,246.0,per_fold,
AAPL,4,1,Random Forest,0.45934959349593496,0.5606060606060606,0.2624113475177305,0.7238095238095238,0.357487922705314,0.48942924687605543,246.0,per_fold,
AAPL,4,1,XGBoost,0.45934959349593496,0.5487804878048781,0.3191489361702128,0.6476190476190476,0.40358744394618834,0.4913204998311382,246.0,per_fold,
AAPL,4,1,LightGBM,0.4715447154471545,0.5632183908045977,0.3475177304964539,0.638095238095238,0.4298245614035088,0.5021952043228639,246.0,per_fold,
AAPL,4,1,CatBoost,0.4634146341463415,0.5445544554455446,0.3900709219858156,0.5619047619047619,0.45454545454545453,0.46382978723404256,246.0,per_fold,
AAPL,ALL,1,Random Forest,0.500406834825061,0.5283286118980169,0.5703363914373089,0.42086956521739133,0.5485294117647059,0.4942800159553251,,pooled,1229.0
AAPL,ALL,1,XGBoost,0.5028478437754271,0.5332302936630603,0.5275229357798165,0.4747826086956522,0.5303612605687933,0.5023560696715863,,pooled,1229.0
AAPL,ALL,1,LightGBM,0.5020341741253052,0.531437125748503,0.5428134556574924,0.45565217391304347,0.5370650529500757,0.4980401542348092,,pooled,1229.0
AAPL,ALL,1,CatBoost,0.500406834825061,0.5296735905044511,0.5458715596330275,0.44869565217391305,0.5376506024096386,0.4893923680361654,,pooled,1229.0
