ticker,outer_fold,window,model,accuracy,precision,recall,specificity,f1,auc,n_test,scope,n_test_total
AAPL,0,1,Random Forest,0.48299319727891155,0.46153846153846156,0.2465753424657534,0.7162162162162162,0.32142857142857145,0.5364679748241391,147.0,per_fold,
AAPL,0,1,XGBoost,0.5782312925170068,0.6341463414634146,0.3561643835616438,0.7972972972972973,0.45614035087719296,0.5520177711958534,147.0,per_fold,
AAPL,0,1,LightGBM,0.5306122448979592,0.524390243902439,0.589041095890411,0.47297297297297297,0.5548387096774193,0.5527582376897444,147.0,per_fold,
AAPL,0,1,CatBoost,0.5850340136054422,0.5909090909090909,0.5342465753424658,0.6351351351351351,0.5611510791366906,0.6073676416142169,147.0,per_fold,
AAPL,1,1,Random Forest,0.46938775510204084,0.4794520547945205,0.4666666666666667,0.4722222222222222,0.47297297297297297,0.49888888888888894,147.0,per_fold,
AAPL,1,1,XGBoost,0.5034013605442177,0.5131578947368421,0.52,0.4861111111111111,0.5165562913907285,0.4962962962962963,147.0,per_fold,
AAPL,1,1,LightGBM,0.5034013605442177,0.5128205128205128,0.5333333333333333,0.4722222222222222,0.5228758169934641,0.5055555555555555,147.0,per_fold,
AAPL,1,1,CatBoost,0.5238095238095238,0.5294117647058824,0.6,0.4444444444444444,0.5625,0.4890740740740741,147.0,per_fold,
AAPL,2,1,Random Forest,0.5374149659863946,0.5737704918032787,0.45454545454545453,0.6285714285714286,0.5072463768115942,0.5115027829313543,147.0,per_fold,
AAPL,2,1,XGBoost,0.5578231292517006,0.59375,0.4935064935064935,0.6285714285714286,0.5390070921985816,0.5476808905380335,147.0,per_fold,
AAPL,2,1,LightGBM,0.5238095238095238,0.5538461538461539,0.4675324675324675,0.5857142857142857,0.5070422535211268,0.5421150278293136,147.0,per_fold,
AAPL,2,1,CatBoost,0.4897959183673469,0.5217391304347826,0.3116883116883117,0.6857142857142857,0.3902439024390244,0.4948051948051948,147.0,per_fold,
AAPL,3,1,Random Forest,0.5034013605442177,0.5070422535211268,0.4864864864864865,0.5205479452054794,0.496551724137931,0.47334320621991854,147.0,per_fold,
AAPL,3,1,XGBoost,0.5306122448979592,0.5333333333333333,0.5405405405405406,0.5205479452054794,0.5369127516778524,0.46723435764531657,147.0,per_fold,
AAPL,3,1,LightGBM,0.5238095238095238,0.5303030303030303,0.47297297297297297,0.5753424657534246,0.5,0.5099962976675305,147.0,per_fold,
AAPL,3,1,CatBoost,0.4897959183673469,0.49333333333333335,0.5,0.4794520547945205,0.4966442953020134,0.4646427249166976,147.0,per_fold,
AAPL,4,1,Random Forest,0.40268456375838924,0.6923076923076923,0.09574468085106383,0.9272727272727272,0.16822429906542055,0.5671179883945842,149.0,per_fold,
AAPL,4,1,XGBoost,0.4228187919463087,0.6538461538461539,0.18085106382978725,0.8363636363636363,0.2833333333333333,0.5264990328820116,149.0,per_fold,
AAPL,4,1,LightGBM,0.40268456375838924,0.6470588235294118,0.11702127659574468,0.8909090909090909,0.1981981981981982,0.562669245647969,149.0,per_fold,
AAPL,4,1,CatBoost,0.3691275167785235,0.5,0.0425531914893617,0.9272727272727272,0.0784313725490196,0.5017408123791103,149.0,per_fold,
AAPL,ALL,1,Random Forest,0.4789687924016282,0.5175097276264592,0.3384223918575064,0.6395348837209303,0.40923076923076923,0.493143085389668,,pooled,737.0
AAPL,ALL,1,XGBoost,0.5183175033921302,0.5673758865248227,0.4071246819338422,0.6453488372093024,0.4740740740740741,0.5066793893129771,,pooled,737.0
AAPL,ALL,1,LightGBM,0.4966078697421981,0.5357142857142857,0.4198473282442748,0.5843023255813954,0.47075606276747506,0.5146976152435055,,pooled,737.0
AAPL,ALL,1,CatBoost,0.49118046132971505,0.5321428571428571,0.3791348600508906,0.6191860465116279,0.4427934621099554,0.5026776732351026,,pooled,737.0
