model_a,model_b,dm_stat,p_value,rw_p_value,rw_reject_05,bonferroni_p_value,n,lag,ticker,horizon,rw_block_size
CatBoost,LightGBM,0.3140774448941073,0.7535512209980191,0.7725,False,0.9176967646483303,737,0,AAPL,1,9
CatBoost,Random Forest,-0.7420811788302291,0.45827489725839987,0.71775,False,0.9176967646483303,737,0,AAPL,1,9
CatBoost,XGBoost,1.5263608578138652,0.12734961701475322,0.39675,False,0.6367480850737661,737,0,AAPL,1,9
LightGBM,Random Forest,-1.0245781147773312,0.3058989215494434,0.60175,False,0.9176967646483303,737,0,AAPL,1,9
LightGBM,XGBoost,1.3070221455127229,0.191613391789331,0.48475,False,0.766453567157324,737,0,AAPL,1,9
Random Forest,XGBoost,2.669451241231645,0.007765023502056767,0.044,True,0.0465901410123406,737,0,AAPL,1,9
